,Distance (scaled),Elevation (scaled),Wind (scaled),Is snowing,Result
3762,33,597,7.0,0,1
3763,28,597,7.0,0,1
3764,43,597,7.0,0,1
3765,38,1050,0.0,0,1
3766,39,1050,0.0,0,1
3767,29,1050,0.0,0,1
3768,33,1050,0.0,0,1
3769,30,1050,0.0,0,1
3770,33,1050,0.0,0,1
3771,24,1050,0.0,0,1
3772,33,1050,0.0,0,1
3773,29,1050,0.0,0,1
3774,33,1050,0.0,0,1
3775,54,1050,0.0,0,1
3776,38,3,2.0,0,1
3777,54,3,2.0,0,1
3778,33,3,2.0,0,1
3779,51,3,2.0,0,1
3780,29,3,2.0,0,0
3781,33,3,2.0,0,1
3782,33,5280,6.0,0,1
3783,33,5280,6.0,0,1
3784,40,5280,6.0,0,1
3785,57,5280,6.0,0,1
3786,33,5280,6.0,0,1
3787,43,5280,6.0,0,1
3788,33,482,4.0,0,1
3789,33,482,4.0,0,1
3790,44,482,4.0,0,1
3791,49,482,4.0,0,1
3792,40,482,4.0,0,1
3793,39,482,4.0,0,1
3794,32,482,4.0,0,1
3795,33,482,4.0,0,1
3796,33,30,16.0,0,1
3797,33,30,16.0,0,1
3798,33,30,16.0,0,0
3799,42,30,16.0,0,1
3800,44,30,16.0,0,1
3801,33,30,16.0,0,1
3802,39,30,16.0,0,1
3803,48,62,0.0,0,1
3804,33,62,0.0,0,1
3805,50,62,0.0,0,0
3806,33,62,0.0,0,1
3807,46,62,0.0,0,1
3808,40,62,0.0,0,1
3809,33,62,0.0,0,1
3810,33,62,0.0,0,1
3811,43,62,0.0,0,1
3812,42,62,0.0,0,1
3813,33,710,0.0,0,1
3814,33,710,0.0,0,1
3815,33,710,0.0,0,1
3816,33,710,0.0,0,1
3817,33,710,0.0,0,1
3818,33,710,0.0,0,1
3819,33,710,0.0,0,1
3820,49,710,0.0,0,1
3821,33,710,0.0,0,1
3822,33,645,0.0,0,1
3823,33,645,0.0,0,1
3824,33,645,0.0,0,1
3825,23,645,0.0,0,1
3826,33,645,0.0,0,1
3827,32,645,0.0,0,1
3828,36,645,0.0,0,1
3829,28,645,0.0,0,1
3830,33,645,0.0,0,1
3831,33,645,0.0,0,1
3832,33,645,0.0,0,1
3833,33,1070,0.0,0,1
3834,33,1070,0.0,0,1
3835,33,1070,0.0,0,1
3836,37,1070,0.0,0,1
3837,45,1070,0.0,0,1
3838,33,1070,0.0,0,1
3839,27,1070,0.0,0,1
3840,33,1070,0.0,0,1
3841,33,1070,0.0,0,1
3842,33,1070,0.0,0,1
3843,33,7,5.0,0,1
3844,25,7,5.0,0,1
3845,53,7,5.0,0,0
3846,48,7,5.0,0,1
3847,33,7,5.0,0,1
3848,23,7,5.0,0,1
3849,19,7,5.0,0,1
3850,27,430,1.0,0,1
3851,38,430,1.0,0,1
3852,33,430,1.0,0,1
3853,33,430,1.0,0,1
3854,33,430,1.0,0,1
3855,33,430,1.0,0,1
3856,33,430,1.0,0,1
3857,43,430,1.0,0,1
3858,33,430,1.0,0,1
3859,33,430,1.0,0,1
3860,31,25,9.0,0,1
3861,33,25,9.0,0,1
3862,33,25,9.0,0,1
3863,36,25,9.0,0,0
3864,33,25,9.0,0,1
